#Organism/Name,Strain,CladeID,BioSample,BioProject,Group,SubGroup,Assembly,Size (Mb),GC%,Replicons,WGS,Scaffolds,Genes,Proteins,Release Date,Modify Date,Level,RefSeq FTP,GenBank FTP
Streptococcus pneumoniae 70585,70585,20104,SAMN02603446 ,PRJNA28043,Terrabacteria group,Firmicutes,GCA_000018965.1 ,2.18468,39.7,chromosome:NC_012468.1/CP000918.1,-,1,2397,2134,3/27/2009,3/9/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/018/965/GCF_000018965.1_ASM1896v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/018/965/GCA_000018965.1_ASM1896v1
Streptococcus pyogenes str. Manfredo,Manfredo,20126,SAMEA1705956 ,PRJNA270,Terrabacteria group,Firmicutes,GCA_000009385.1 ,1.84127,38.6,chromosome:NC_009332.1/AM295007.1,-,1,1912,1774,2/5/2007,5/28/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/385/GCF_000009385.1_ASM938v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/385/GCA_000009385.1_ASM938v1
Streptococcus pyogenes SSI-1,SSI-1,20126,SAMD00061102 ,PRJNA301,Terrabacteria group,Firmicutes,GCA_000011285.1 ,1.89427,38.6,chromosome:NC_004606.1/BA000034.2,-,1,1974,1846,3/4/2003,3/22/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/285/GCF_000011285.1_ASM1128v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/285/GCA_000011285.1_ASM1128v1
Streptococcus pneumoniae JJA,JJA,20104,SAMN02603444 ,PRJNA28039,Terrabacteria group,Firmicutes,GCA_000018985.1 ,2.12023,39.7,chromosome:NC_012466.1/CP000919.1,-,1,2285,2057,3/27/2009,9/12/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/018/985/GCF_000018985.1_ASM1898v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/018/985/GCA_000018985.1_ASM1898v1
Streptococcus suis 05HAS68,05HAS68,20103,SAMN02469350 ,PRJNA17157,Terrabacteria group,Firmicutes,GCA_000168355.3 ,2.17607,41.2,chromosome:NZ_CP002007.2/CP002007.2,-,1,2215,2024,1/9/2014,3/17/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/168/355/GCF_000168355.3_ASM16835v3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/168/355/GCA_000168355.3_ASM16835v3
Streptococcus agalactiae,SA20,20122,SAMN02603506 ,PRJNA174852,Terrabacteria group,Firmicutes,GCA_000302475.3 ,1.84195,35.5,chromosome:CP003919.2,-,1,1912,1679,11/2/2012,3/9/2017,Complete Genome,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/302/475/GCA_000302475.3_ASM30247v3
Streptococcus thermophilus ND03,ND03,51009,SAMN02603938 ,PRJNA49149,Terrabacteria group,Firmicutes,GCA_000182875.1 ,1.83195,39,chromosome:NC_017563.1/CP002340.1,-,1,1968,1692,11/19/2010,4/11/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/182/875/GCF_000182875.1_ASM18287v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/182/875/GCA_000182875.1_ASM18287v1
Streptococcus salivarius,HSISS4,20120,SAMN02471219 ,PRJNA196127,Terrabacteria group,Firmicutes,GCA_000448685.2 ,2.10099,40.2,chromosome:NZ_CP013216.1/CP013216.1,-,1,1983,1853,12/7/2015,4/4/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/448/685/GCF_000448685.2_ASM44868v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/448/685/GCA_000448685.2_ASM44868v2
Streptococcus mutans UA159-FR,UA159-FR,20116,SAMN03278343 ,PRJNA231968,Terrabacteria group,Firmicutes,GCA_000817065.1 ,2.03169,36.8,chromosome:NZ_CP007016.1/CP007016.1,-,1,2072,1940,1/9/2015,3/25/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/817/065/GCF_000817065.1_ASM81706v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/817/065/GCA_000817065.1_ASM81706v1
Streptococcus equi subsp. zooepidemicus CY,CY,20124,SAMN02997653 ,PRJNA221123,Terrabacteria group,Firmicutes,GCA_000696505.1 ,2.10738,41.7,chromosome:NZ_CP006770.1/CP006770.1,-,1,1993,1827,5/30/2014,3/24/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/696/505/GCF_000696505.1_ASM69650v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/696/505/GCA_000696505.1_ASM69650v1
Streptococcus gordonii,FDAARGOS_371,22714,SAMN07312415 ,PRJNA231221,Terrabacteria group,Firmicutes,GCA_002386285.1 ,2.12131,40.7,chromosome:NZ_CP023511.1/CP023511.1,-,1,2099,1970,9/28/2017,10/1/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/386/285/GCF_002386285.1_ASM238628v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/386/285/GCA_002386285.1_ASM238628v1
Streptococcus intermedius,TYG1620,21002,SAMD00031898 ,PRJDB3973,Terrabacteria group,Firmicutes,GCA_002356055.1 ,2.00688,37.6,chromosome:NZ_AP014880.1/AP014880.1,-,1,2050,1896,12/2/2016,9/27/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/356/055/GCF_002356055.1_ASM235605v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/356/055/GCA_002356055.1_ASM235605v1
Streptococcus anginosus,J4211,20109,SAMN03577772 ,PRJNA282763,Terrabacteria group,Firmicutes,GCA_001412635.1 ,1.92451,39,chromosome:NZ_CP012805.1/CP012805.1,-,1,1953,1815,10/26/2015,4/4/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/412/635/GCF_001412635.1_ASM141263v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/412/635/GCA_001412635.1_ASM141263v1
Streptococcus gallolyticus,ICDDRB-NRC-S1,54197,SAMN04348601 ,PRJNA306242,Terrabacteria group,Firmicutes,GCA_001477575.1 ,2.0525,37.7,chromosome:NZ_CP013688.1/CP013688.1,-,1,2125,1759,12/22/2015,4/11/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/477/575/GCF_001477575.1_ASM147757v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/477/575/GCA_001477575.1_ASM147757v1
Streptococcus sp. FDAARGOS_192,FDAARGOS_192,20120,SAMN04875529 ,PRJNA231221,Terrabacteria group,Firmicutes,GCA_002073815.1 ,2.43547,39.6296,chromosome:NZ_CP020431.1/CP020431.1; plasmid unnamed1:NZ_CP020429.1/CP020429.1; plasmid unnamed2:NZ_CP020430.1/CP020430.1,-,3,2266,2100,3/29/2017,4/1/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/073/815/GCF_002073815.1_ASM207381v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/073/815/GCA_002073815.1_ASM207381v1
Streptococcus sp. NPS 308,NPS 308,20104,SAMD00061134 ,PRJDB5166,Terrabacteria group,Firmicutes,GCA_002355895.1 ,1.92473,41.1,chromosome:NZ_AP017652.1/AP017652.1,-,1,1944,1807,10/14/2016,9/27/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/355/895/GCF_002355895.1_ASM235589v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/355/895/GCA_002355895.1_ASM235589v1
Streptococcus anginosus,J4206,20109,SAMN03271571 ,PRJNA270893,Terrabacteria group,Firmicutes,GCA_001697145.1 ,2.00135,38.6,chromosome:CP012719.1,-,1,1912,1912,8/2/2016,8/2/2016,Complete Genome,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/697/145/GCA_001697145.1_ASM169714v1
Streptococcus mutans,NG8,20116,SAMN04155244 ,PRJNA298029,Terrabacteria group,Firmicutes,GCA_001558215.1 ,1.98444,36.9,chromosome:NZ_CP013237.1/CP013237.1,-,1,1988,1844,2/11/2016,3/27/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/558/215/GCF_001558215.1_ASM155821v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/558/215/GCA_001558215.1_ASM155821v1
Streptococcus salivarius,JF,20120,SAMN04395122 ,PRJNA308383,Terrabacteria group,Firmicutes,GCA_001543085.1 ,2.19104,40.2,chromosome:NZ_CP014144.1/CP014144.1,-,1,2100,1922,2/1/2016,4/4/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/543/085/GCF_001543085.1_ASM154308v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/543/085/GCA_001543085.1_ASM154308v1
Streptococcus thermophilus MN-ZLW-002,MN-ZLW-002,51009,SAMN02603848 ,PRJNA159887,Terrabacteria group,Firmicutes,GCA_000262675.1 ,1.84852,39.1,chromosome:NC_017927.1/CP003499.1,-,1,1982,1695,5/14/2012,4/11/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/262/675/GCF_000262675.1_ASM26267v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/262/675/GCA_000262675.1_ASM26267v1
Streptococcus agalactiae 09mas018883,09mas018883,20122,SAMEA2272272 ,PRJEB1693,Terrabacteria group,Firmicutes,GCA_000427035.1 ,2.13869,35.5,chromosome I:NC_021485.1/HF952104.1,-,1,2225,2066,5/28/2013,3/15/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/427/035/GCF_000427035.1_09mas018883,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/427/035/GCA_000427035.1_09mas018883
Streptococcus suis JS14,JS14,20103,SAMN02603326 ,PRJNA61797,Terrabacteria group,Firmicutes,GCA_000186405.1 ,2.13743,41.2,chromosome:NC_017618.1/CP002465.1,-,1,2161,1979,1/20/2011,3/15/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/186/405/GCF_000186405.1_ASM18640v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/186/405/GCA_000186405.1_ASM18640v1
Streptococcus pneumoniae P1031,P1031,20104,SAMN02603445 ,PRJNA28041,Terrabacteria group,Firmicutes,GCA_000019005.1 ,2.11188,39.7,chromosome:NC_012467.1/CP000920.1,-,1,2336,2081,3/27/2009,3/9/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/019/005/GCF_000019005.1_ASM1900v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/019/005/GCA_000019005.1_ASM1900v1
Streptococcus pyogenes MGAS10394,MGAS10394,20126,SAMN02603497 ,PRJNA12469,Terrabacteria group,Firmicutes,GCA_000011665.1 ,1.89988,38.7,chromosome:NC_006086.1/CP000003.1,-,1,1947,1792,8/3/2004,3/22/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/665/GCF_000011665.1_ASM1166v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/665/GCA_000011665.1_ASM1166v1
Streptococcus pyogenes MGAS5005,MGAS5005,20126,SAMN02603500 ,PRJNA13888,Terrabacteria group,Firmicutes,GCA_000011765.2 ,1.83856,38.5,chromosome:NC_007297.2/CP000017.2,-,1,1896,1760,8/5/2005,3/22/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/765/GCF_000011765.3_ASM1176v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/765/GCA_000011765.2_ASM1176v2
Streptococcus pneumoniae Taiwan19F-14,Taiwan19F-14,20104,SAMN02603443 ,PRJNA28037,Terrabacteria group,Firmicutes,GCA_000019025.1 ,2.11215,39.8,chromosome:NC_012469.1/CP000921.1,-,1,2306,2052,3/27/2009,3/15/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/019/025/GCF_000019025.1_ASM1902v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/019/025/GCA_000019025.1_ASM1902v1
Streptococcus suis ST3,ST3,20103,SAMN02603319 ,PRJNA65245,Terrabacteria group,Firmicutes,GCA_000204625.1 ,2.02881,41.3,chromosome:NC_015433.1/CP002633.1,-,1,2052,1865,4/19/2011,3/15/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/204/625/GCF_000204625.1_ASM20462v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/204/625/GCA_000204625.1_ASM20462v1
Streptococcus agalactiae ILRI005,ILRI005,20122,SAMEA2272371 ,PRJEB1694,Terrabacteria group,Firmicutes,GCA_000427075.1 ,2.10976,35.4,chromosome I:NC_021486.1/HF952105.1,-,1,2214,1998,5/28/2013,3/15/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/427/075/GCF_000427075.1_ILRI005,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/427/075/GCA_000427075.1_ILRI005
Streptococcus thermophilus ASCC 1275,ASCC 1275,51009,SAMN02770279 ,PRJNA222865,Terrabacteria group,Firmicutes,GCA_000698885.1 ,1.8455,39.1,chromosome:NZ_CP006819.1/CP006819.1,-,1,1974,1666,6/6/2014,4/11/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/698/885/GCF_000698885.1_ASM69888v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/698/885/GCA_000698885.1_ASM69888v1
Streptococcus salivarius,FDAARGOS_259,20120,SAMN04875585 ,PRJNA231221,Terrabacteria group,Firmicutes,GCA_002073835.1 ,2.25923,40.1,chromosome:NZ_CP020451.1/CP020451.1,-,1,2148,1957,3/29/2017,4/1/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/073/835/GCF_002073835.1_ASM207383v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/073/835/GCA_002073835.1_ASM207383v1
Streptococcus salivarius,ATCC 27945,20120,SAMN03140396 ,PRJNA264747,Terrabacteria group,Firmicutes,GCA_002094955.1 ,2.10827,40.2,chromosome:NZ_CP015282.1/CP015282.1,-,1,1968,1829,4/18/2017,4/21/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/094/955/GCF_002094955.1_ASM209495v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/094/955/GCA_002094955.1_ASM209495v1
Streptococcus thermophilus,SMQ-301,51009,SAMN02850632 ,PRJNA251645,Terrabacteria group,Firmicutes,GCA_000971665.1 ,1.86179,39.1,chromosome:NZ_CP011217.1/CP011217.1,-,1,1993,1684,4/13/2015,4/11/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/971/665/GCF_000971665.1_ASM97166v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/971/665/GCA_000971665.1_ASM97166v1
Streptococcus suis SS12,SS12,20103,SAMN02603320 ,PRJNA65433,Terrabacteria group,Firmicutes,GCA_000231865.1 ,2.09687,41.2,chromosome:NC_017619.1/CP002640.1,-,1,2136,2001,10/25/2011,3/15/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/231/865/GCF_000231865.1_ASM23186v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/231/865/GCA_000231865.1_ASM23186v1
Streptococcus agalactiae COH1,COH1,20122,SAMEA3139000 ,PRJEB5232,Terrabacteria group,Firmicutes,GCA_000689235.1 ,2.06507,35.4,chromosome I:NZ_HG939456.1/HG939456.1,-,1,2123,1939,4/6/2014,3/16/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/689/235/GCF_000689235.1_GBCO_p1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/689/235/GCA_000689235.1_GBCO_p1
Streptococcus pneumoniae Hungary19A-6,Hungary19A-6,20104,SAMN02603442 ,PRJNA28035,Terrabacteria group,Firmicutes,GCA_000019265.1 ,2.24561,39.6,chromosome:NC_010380.1/CP000936.1,-,1,2429,2167,2/27/2008,3/15/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/019/265/GCF_000019265.1_ASM1926v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/019/265/GCA_000019265.1_ASM1926v1
Streptococcus pyogenes MGAS6180,MGAS6180,20126,SAMN02603499 ,PRJNA13887,Terrabacteria group,Firmicutes,GCA_000012165.1 ,1.89757,38.4,chromosome:NC_007296.1/CP000056.1,-,1,1945,1803,8/4/2005,3/22/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/165/GCF_000012165.1_ASM1216v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/165/GCA_000012165.1_ASM1216v1
Streptococcus pyogenes MGAS9429,MGAS9429,20126,SAMN02603501 ,PRJNA16363,Terrabacteria group,Firmicutes,GCA_000013485.1 ,1.83647,38.5,chromosome:NC_008021.1/CP000259.1,-,1,1867,1724,5/4/2006,3/22/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/485/GCF_000013485.1_ASM1348v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/485/GCA_000013485.1_ASM1348v1
Streptococcus pneumoniae G54,G54,20104,SAMN02603350 ,PRJNA29047,Terrabacteria group,Firmicutes,GCA_000019825.1 ,2.07895,39.7,chromosome:NC_011072.1/CP001015.1,-,1,2269,1986,7/22/2008,3/8/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/019/825/GCF_000019825.1_ASM1982v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/019/825/GCA_000019825.1_ASM1982v1
Streptococcus agalactiae,NGBS061,20122,SAMN02741687 ,PRJNA246096,Terrabacteria group,Firmicutes,GCA_000730215.2 ,2.22121,35.5,chromosome:NZ_CP007631.1/CP007631.2,-,1,2314,2138,7/17/2014,3/16/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/730/215/GCF_000730215.1_ASM73021v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/730/215/GCA_000730215.2_ASM73021v2
Streptococcus suis D9,D9,20103,SAMN02603321 ,PRJNA65435,Terrabacteria group,Firmicutes,GCA_000231885.1 ,2.17766,41,chromosome:NC_017620.1/CP002641.1,-,1,2189,1964,10/25/2011,8/4/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/231/885/GCF_000231885.1_ASM23188v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/231/885/GCA_000231885.1_ASM23188v1
Streptococcus thermophilus,MN-BM-A02,51009,SAMN03325854 ,PRJNA274301,Terrabacteria group,Firmicutes,GCA_001008015.1 ,1.85043,39,chromosome:NZ_CP010999.1/CP010999.1,-,1,1977,1677,5/15/2015,4/11/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/008/015/GCF_001008015.1_ASM100801v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/008/015/GCA_001008015.1_ASM100801v1
Streptococcus salivarius,ATCC 25975,20120,SAMN02401019 ,PRJNA227252,Terrabacteria group,Firmicutes,GCA_002094975.1 ,2.32635,39.6824,chromosome:NZ_CP015283.1/CP015283.1; plasmid unnamed:NZ_CP015284.1/CP015284.1,-,2,2177,2002,4/18/2017,4/21/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/094/975/GCF_002094975.1_ASM209497v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/094/975/GCA_002094975.1_ASM209497v1
Streptococcus iniae SF1,SF1,21292,SAMN02603405 ,PRJNA196817,Terrabacteria group,Firmicutes,GCA_000403625.1 ,2.14984,36.7,chromosome:CP005941.1,-,1,2196,2125,5/30/2013,3/14/2014,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/403/625/GCF_000403625.1_ASM40362v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/403/625/GCA_000403625.1_ASM40362v1
Streptococcus thermophilus,MN-BM-A01,51009,SAMN04002535 ,PRJNA293401,Terrabacteria group,Firmicutes,GCA_001280285.1 ,1.87652,39.1,chromosome:NZ_CP012588.1/CP012588.1,-,1,2023,1661,9/9/2015,4/11/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/280/285/GCF_001280285.1_ASM128028v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/280/285/GCA_001280285.1_ASM128028v1
Streptococcus suis D12,D12,20103,SAMN02603322 ,PRJNA65469,Terrabacteria group,Firmicutes,GCA_000231905.1 ,2.18306,41.3,chromosome:NC_017621.1/CP002644.1,-,1,2207,2001,10/25/2011,3/15/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/231/905/GCF_000231905.1_ASM23190v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/231/905/GCA_000231905.1_ASM23190v1
Streptococcus agalactiae,NGBS572,20122,SAMN02741688 ,PRJNA246096,Terrabacteria group,Firmicutes,GCA_000730255.1 ,2.06143,35.5,chromosome:NZ_CP007632.1/CP007632.1,-,1,2127,1967,7/17/2014,3/16/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/730/255/GCF_000730255.1_ASM73025v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/730/255/GCA_000730255.1_ASM73025v1
Streptococcus pneumoniae CGSP14,CGSP14,20104,SAMN02603015 ,PRJNA29179,Terrabacteria group,Firmicutes,GCA_000019985.1 ,2.2092,39.5,chromosome:NC_010582.1/CP001033.1,-,1,2380,2112,4/11/2008,3/8/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/019/985/GCF_000019985.1_ASM1998v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/019/985/GCA_000019985.1_ASM1998v1
Streptococcus pyogenes MGAS10270,MGAS10270,20126,SAMN02603502 ,PRJNA16364,Terrabacteria group,Firmicutes,GCA_000013505.1 ,1.92825,38.4,chromosome:NC_008022.1/CP000260.1,-,1,1990,1829,5/4/2006,3/22/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/505/GCF_000013505.1_ASM1350v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/505/GCA_000013505.1_ASM1350v1
Streptococcus pyogenes MGAS2096,MGAS2096,20126,SAMN02603503 ,PRJNA16365,Terrabacteria group,Firmicutes,GCA_000013525.1 ,1.86035,38.7,chromosome:NC_008023.1/CP000261.1,-,1,1809,1609,5/4/2006,3/2/2016,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/525/GCF_000013525.1_ASM1352v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/525/GCA_000013525.1_ASM1352v1
Streptococcus pneumoniae ATCC 700669,ATCC 700669,20104,SAMEA1705947 ,PRJEA31233,Terrabacteria group,Firmicutes,GCA_000026665.1 ,2.22132,39.5,chromosome:NC_011900.1/FM211187.1,-,1,2403,2150,1/13/2009,3/15/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/026/665/GCF_000026665.1_ASM2666v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/026/665/GCA_000026665.1_ASM2666v1
Streptococcus agalactiae CNCTC 10/84,CNCTC 10/84,20122,SAMN03178022 ,PRJNA229124,Terrabacteria group,Firmicutes,GCA_000782855.1 ,2.01384,35.4,chromosome:NZ_CP006910.1/CP006910.1,-,1,2094,1947,11/14/2014,3/16/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/782/855/GCF_000782855.1_ASM78285v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/782/855/GCA_000782855.1_ASM78285v1
Streptococcus suis ST1,ST1,20103,SAMN02603323 ,PRJNA65471,Terrabacteria group,Firmicutes,GCA_000231925.1 ,2.03432,41.4,chromosome:NC_017950.1/CP002651.1,-,1,2095,1855,10/25/2011,8/4/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/231/925/GCF_000231925.1_ASM23192v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/231/925/GCA_000231925.1_ASM23192v1
Streptococcus thermophilus,S9,51009,SAMN04384202 ,PRJNA307645,Terrabacteria group,Firmicutes,GCA_001514435.1 ,1.78744,39.1,chromosome:NZ_CP013939.1/CP013939.1,-,1,1922,1630,1/14/2016,4/11/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/514/435/GCF_001514435.1_ASM151443v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/514/435/GCA_001514435.1_ASM151443v1
Streptococcus iniae,ISET0901,21292,SAMN02726853 ,PRJNA244502,Terrabacteria group,Firmicutes,GCA_000648525.1 ,2.07082,36.8,chromosome:CP007586.1,-,1,1997,1872,4/28/2014,6/13/2014,Complete Genome,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/648/525/GCA_000648525.1_ASM64852v1
Streptococcus iniae,ISNO,21292,SAMN02728459 ,PRJNA244738,Terrabacteria group,Firmicutes,GCA_000648555.1 ,2.07018,36.8,chromosome:CP007587.1,-,1,1996,1865,4/28/2014,6/18/2014,Complete Genome,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/648/555/GCA_000648555.1_ASM64855v1
Streptococcus thermophilus,KLDS SM,51009,SAMN05226830 ,PRJNA325330,Terrabacteria group,Firmicutes,GCA_001663795.1 ,1.85679,39.1,chromosome:NZ_CP016026.1/CP016026.1,-,1,1984,1671,6/14/2016,4/11/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/663/795/GCF_001663795.1_ASM166379v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/663/795/GCA_001663795.1_ASM166379v1
Streptococcus suis A7,A7,20103,SAMN02603318 ,PRJNA63483,Terrabacteria group,Firmicutes,GCA_000233575.1 ,2.03841,41.2,chromosome:NC_017622.1/CP002570.1,-,1,2047,1897,11/1/2011,3/15/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/233/575/GCF_000233575.1_ASM23357v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/233/575/GCA_000233575.1_ASM23357v1
